epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.3487,1.40987,3.18633,1.47756,0.46344,0.38693,0.36411,0.1598,1.88852,2.17886,1.84039,0.00023654,0.00023654,0.00023654
2,100.62,1.32792,1.96951,1.44925,0.47804,0.42483,0.42094,0.19244,1.85856,1.75588,1.77719,0.000465144,0.000465144,0.000465144
3,147.248,1.29949,1.7312,1.42105,0.65983,0.43617,0.48556,0.22341,1.85191,1.67017,1.81344,0.000684323,0.000684323,0.000684323
4,194.504,1.24785,1.62494,1.39789,0.62188,0.46953,0.5003,0.21515,1.89517,1.77963,1.83792,0.000671588,0.000671588,0.000671588
5,242.479,1.2204,1.52883,1.37228,0.6269,0.46063,0.50482,0.2379,1.82181,1.64874,1.75245,0.000657451,0.000657451,0.000657451
6,289.876,1.19935,1.46312,1.35248,0.73561,0.44904,0.53591,0.23428,1.90953,1.60383,1.86417,0.000643314,0.000643314,0.000643314
7,337.068,1.18168,1.42321,1.34033,0.65618,0.52857,0.57001,0.26364,1.82383,1.49903,1.77495,0.000629177,0.000629177,0.000629177
8,385.56,1.16722,1.37521,1.32676,0.6835,0.54304,0.57551,0.2649,1.82962,1.48244,1.74504,0.00061504,0.00061504,0.00061504
9,433.58,1.14099,1.32263,1.3091,0.67064,0.53418,0.59193,0.27552,1.82672,1.46101,1.80039,0.000600902,0.000600902,0.000600902
10,481.021,1.14221,1.29436,1.30151,0.65892,0.56594,0.57557,0.27099,1.74893,1.46221,1.69658,0.000586765,0.000586765,0.000586765
11,528.49,1.12702,1.2688,1.29428,0.73525,0.56516,0.62237,0.29461,1.78243,1.39554,1.72661,0.000572628,0.000572628,0.000572628
12,575.29,1.11994,1.24059,1.29017,0.75258,0.56823,0.63099,0.32733,1.60209,1.29864,1.59645,0.000558491,0.000558491,0.000558491
13,621.542,1.104,1.21355,1.28032,0.72844,0.59421,0.64548,0.32784,1.69924,1.33141,1.70516,0.000544354,0.000544354,0.000544354
14,668.946,1.09795,1.17791,1.2696,0.75121,0.5798,0.6399,0.30533,1.74232,1.26613,1.69255,0.000530216,0.000530216,0.000530216
15,715.238,1.08291,1.16486,1.26516,0.78007,0.6197,0.67449,0.33095,1.69421,1.2484,1.70066,0.000516079,0.000516079,0.000516079
